service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
HS,0,0,0,0,0,0,0,20210816,20220501
SWB,1,1,1,1,1,0,0,20220502,20220821
SU,0,0,0,0,0,0,1,20210816,20220501
WB,1,1,1,1,1,0,0,20210816,20220501
SSU,0,0,0,0,0,0,1,20220502,20220821
SA,0,0,0,0,0,1,0,20210816,20220501
SSA,0,0,0,0,0,1,0,20220502,20220821
SHS,0,0,0,0,0,0,0,20220502,20220821
WESF,1,1,1,1,1,0,0,20210816,20220501
WE,1,1,1,1,1,0,0,20210816,20220501
SWE,1,1,1,1,1,0,0,20220502,20220821
SUUF,0,0,0,0,0,0,1,20210816,20220501
SAUF,0,0,0,0,0,1,0,20210816,20220501
