service_id,date,exception_type
HS,20210906,1
HS,20211111,1
HS,20211124,1
HS,20211224,1
HS,20220101,1
HS,20220117,1
SWB,20220530,2
SWB,20220704,2
WB,20210906,2
WB,20211111,2
WB,20211124,2
WB,20211125,2
WB,20211126,2
WB,20211224,2
WB,20220117,2
SA,20211225,2
SA,20220101,2
SHS,20220530,1
SHS,20220704,1
WESF,20210906,2
WESF,20211008,2
WESF,20211111,2
WESF,20211124,1
WESF,20211125,2
WESF,20211126,2
WESF,20211220,2
WESF,20211221,2
WESF,20211222,2
WESF,20211223,2
WESF,20211224,2
WESF,20211227,2
WESF,20211228,2
WESF,20211229,2
WESF,20211230,2
WESF,20211231,2
WESF,20220117,2
WESF,20220307,2
WESF,20220308,2
WESF,20220309,2
WESF,20220310,2
WESF,20220311,2
WE,20210906,2
WE,20211008,2
WE,20211111,2
WE,20211124,2
WE,20211125,2
WE,20211126,2
WE,20211220,2
WE,20211221,2
WE,20211222,2
WE,20211223,2
WE,20211224,2
WE,20211227,2
WE,20211228,2
WE,20211229,2
WE,20211230,2
WE,20211231,2
WE,20220117,2
WE,20220307,2
WE,20220308,2
WE,20220309,2
WE,20220310,2
WE,20220311,2
SWE,20220502,2
SWE,20220503,2
SWE,20220504,2
SWE,20220505,2
SWE,20220506,2
SWE,20220530,2
SWE,20220620,2
SWE,20220621,2
SWE,20220622,2
SWE,20220623,2
SWE,20220624,2
SWE,20220704,2
SWE,20220808,2
SWE,20220809,2
SWE,20220810,2
SWE,20220811,2
SWE,20220812,2
SUUF,20211219,2
SUUF,20211226,2
SUUF,20220306,2
SUUF,20220313,2
SAUF,20211218,2
SAUF,20211225,2
SAUF,20220101,2
SAUF,20220305,2
SAUF,20220312,2
