trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
4753576,08:00:00,08:00:00,1493,0,1
4753576,,,1349,1,0
4753576,,,1548,2,0
4753576,,,1491,3,0
4753576,,,1306,4,0
4753576,,,1592,5,0
4753576,,,34,6,0
4753576,,,35,7,0
4753576,,,36,8,0
4753576,,,37,9,0
4753576,,,38,10,0
4753576,,,39,11,0
4753576,,,40,12,0
4753576,,,1199,13,0
4753576,,,118,14,0
4753576,,,360,15,0
4753576,,,361,16,0
4753576,,,362,17,0
4753576,,,1159,18,0
4753576,,,52,19,0
4753576,,,53,20,0
4753576,,,55,21,0
4753576,,,56,22,0
4753576,,,1290,23,0
4753576,,,57,24,0
4753576,,,1216,25,0
4753576,08:25:00,08:25:00,1,26,1
4753577,09:00:00,09:00:00,1493,0,1
4753577,,,1349,1,0
4753577,,,1548,2,0
4753577,,,1491,3,0
4753577,,,1306,4,0
4753577,,,1592,5,0
4753577,,,34,6,0
4753577,,,35,7,0
4753577,,,36,8,0
4753577,,,37,9,0
4753577,,,38,10,0
4753577,,,39,11,0
4753577,,,40,12,0
4753577,,,1199,13,0
4753577,,,118,14,0
4753577,,,360,15,0
4753577,,,361,16,0
4753577,,,362,17,0
4753577,,,1159,18,0
4753577,,,52,19,0
4753577,,,53,20,0
4753577,,,55,21,0
4753577,,,56,22,0
4753577,,,1290,23,0
4753577,,,57,24,0
4753577,,,1216,25,0
4753577,09:25:00,09:25:00,1,26,1
4753578,10:00:00,10:00:00,1493,0,1
4753578,,,1349,1,0
4753578,,,1548,2,0
4753578,,,1491,3,0
4753578,,,1306,4,0
4753578,,,1592,5,0
4753578,,,34,6,0
4753578,,,35,7,0
4753578,,,36,8,0
4753578,,,37,9,0
4753578,,,38,10,0
4753578,,,39,11,0
4753578,,,40,12,0
4753578,,,1199,13,0
4753578,,,118,14,0
4753578,,,360,15,0
4753578,,,361,16,0
4753578,,,362,17,0
4753578,,,1159,18,0
4753578,,,52,19,0
4753578,,,53,20,0
4753578,,,55,21,0
4753578,,,56,22,0
4753578,,,1290,23,0
4753578,,,57,24,0
4753578,,,1216,25,0
4753578,10:25:00,10:25:00,1,26,1
4753579,11:00:00,11:00:00,1493,0,1
4753579,,,1349,1,0
4753579,,,1548,2,0
4753579,,,1491,3,0
4753579,,,1306,4,0
4753579,,,1592,5,0
4753579,,,34,6,0
4753579,,,35,7,0
4753579,,,36,8,0
4753579,,,37,9,0
4753579,,,38,10,0
4753579,,,39,11,0
4753579,,,40,12,0
4753579,,,1199,13,0
4753579,,,118,14,0
4753579,,,360,15,0
4753579,,,361,16,0
4753579,,,362,17,0
4753579,,,1159,18,0
4753579,,,52,19,0
4753579,,,53,20,0
4753579,,,55,21,0
4753579,,,56,22,0
4753579,,,1290,23,0
4753579,,,57,24,0
4753579,,,1216,25,0
4753579,11:25:00,11:25:00,1,26,1
4753580,12:00:00,12:00:00,1493,0,1
4753580,,,1349,1,0
4753580,,,1548,2,0
4753580,,,1491,3,0
4753580,,,1306,4,0
4753580,,,1592,5,0
4753580,,,34,6,0
4753580,,,35,7,0
4753580,,,36,8,0
4753580,,,37,9,0
4753580,,,38,10,0
4753580,,,39,11,0
4753580,,,40,12,0
4753580,,,1199,13,0
4753580,,,118,14,0
4753580,,,360,15,0
4753580,,,361,16,0
4753580,,,362,17,0
4753580,,,1159,18,0
4753580,,,52,19,0
4753580,,,53,20,0
4753580,,,55,21,0
4753580,,,56,22,0
4753580,,,1290,23,0
4753580,,,57,24,0
4753580,,,1216,25,0
4753580,12:25:00,12:25:00,1,26,1
4753581,13:00:00,13:00:00,1493,0,1
4753581,,,1349,1,0
4753581,,,1548,2,0
4753581,,,1491,3,0
4753581,,,1306,4,0
4753581,,,1592,5,0
4753581,,,34,6,0
4753581,,,35,7,0
4753581,,,36,8,0
4753581,,,37,9,0
4753581,,,38,10,0
4753581,,,39,11,0
4753581,,,40,12,0
4753581,,,1199,13,0
4753581,,,118,14,0
4753581,,,360,15,0
4753581,,,361,16,0
4753581,,,362,17,0
4753581,,,1159,18,0
4753581,,,52,19,0
4753581,,,53,20,0
4753581,,,55,21,0
4753581,,,56,22,0
4753581,,,1290,23,0
4753581,,,57,24,0
4753581,,,1216,25,0
4753581,13:25:00,13:25:00,1,26,1
4753582,14:00:00,14:00:00,1493,0,1
4753582,,,1349,1,0
4753582,,,1548,2,0
4753582,,,1491,3,0
4753582,,,1306,4,0
4753582,,,1592,5,0
4753582,,,34,6,0
4753582,,,35,7,0
4753582,,,36,8,0
4753582,,,37,9,0
4753582,,,38,10,0
4753582,,,39,11,0
4753582,,,40,12,0
4753582,,,1199,13,0
4753582,,,118,14,0
4753582,,,360,15,0
4753582,,,361,16,0
4753582,,,362,17,0
4753582,,,1159,18,0
4753582,,,52,19,0
4753582,,,53,20,0
4753582,,,55,21,0
4753582,,,56,22,0
4753582,,,1290,23,0
4753582,,,57,24,0
4753582,,,1216,25,0
4753582,14:25:00,14:25:00,1,26,1
4753583,15:00:00,15:00:00,1493,0,1
4753583,,,1349,1,0
4753583,,,1548,2,0
4753583,,,1491,3,0
4753583,,,1306,4,0
4753583,,,1592,5,0
4753583,,,34,6,0
4753583,,,35,7,0
4753583,,,36,8,0
4753583,,,37,9,0
4753583,,,38,10,0
4753583,,,39,11,0
4753583,,,40,12,0
4753583,,,1199,13,0
4753583,,,118,14,0
4753583,,,360,15,0
4753583,,,361,16,0
4753583,,,362,17,0
4753583,,,1159,18,0
4753583,,,52,19,0
4753583,,,53,20,0
4753583,,,55,21,0
4753583,,,56,22,0
4753583,,,1290,23,0
4753583,,,57,24,0
4753583,,,1216,25,0
4753583,15:25:00,15:25:00,1,26,1
4753584,16:00:00,16:00:00,1493,0,1
4753584,,,1349,1,0
4753584,,,1548,2,0
4753584,,,1491,3,0
4753584,,,1306,4,0
4753584,,,1592,5,0
4753584,,,34,6,0
4753584,,,35,7,0
4753584,,,36,8,0
4753584,,,37,9,0
4753584,,,38,10,0
4753584,,,39,11,0
4753584,,,40,12,0
4753584,,,1199,13,0
4753584,,,118,14,0
4753584,,,360,15,0
4753584,,,361,16,0
