stop_id,stop_name,stop_desc,route_id
1493,Butler Plaza Transfer Station,Westbound SW 30th Place @ Farside SW 42nd Street,1
1349,Hilton Garden Inn,Eastbound SW 33rd PL @ Farside SW 42nd ST,1
1548,Sam's Club,Eastbound SW 33rd PL @ Nearside SW 37th Blvd,1
1491,Lowe's @ Butler Plaza Eastbound,Eastbound Windmeadows Blvd @ Farside SW 62nd Blvd,1
1306,Publix at Butler Plaza,Southbound SW 35th Blvd @ Farside Windmeadows Blvd,1
1592,Pizza Hut Archer Rd Eastbound,Eastbound SW Archer Rd @ Farside SW 35th Blvd,1
34,Radio Shack @ Archer Road,Eastbound Archer RD @ Farside SW 34th ST,1
35,Silver Creek Apartments,Eastbound Archer RD @ Farside SW 34th ST,1
36,Capstone Quarters Apartments,Eastbound Archer RD @ Farside Surge Area DR,1
37,Brandywine Apartments,Eastbound Archer RD @ Farside Surge Area DR,1
38,University Commons,Eastbound Archer RD @ Nearside SW 23rd TER,1
39,The Bartram Apartments,Eastbound Archer RD @ Farside SW 23rd DR,1
40,Shands Care Helicopter Pad,Eastbound Archer RD @ Nearside Gale Lemerand DR,1
1199,VA Hospital @ Archer Rd,Eastbound Archer RD @ Farside Center DR,1
118,Shands Cancer Hospital,Eastbound SW Archer Rd Farside SW 16th St,1
360,Norman Field,Northbound SW 13th ST @ Farside SW 8th AVE,1
361,Norman Hall,Northbound SW 13th ST @ Nearside SW 5th AVE,1
362,Social 28 Apartments,Northbound SW 13th ST @ Nearside SW 3rd AVE,1
1159,Phi Kappa Tau,Eastbound SW 2nd AVE @ Farside SW 13th ST,1
52,Eastbound SW 2nd Avenue @ SW 10th Street,Eastbound SW 2nd AVE @ Nearside SW 10th ST,1
53,Innovation Square East,Eastbound SW 2nd AVE @ Farside SW 7th TER,1
55,Second Avenue Center Apartments,Eastbound SW 2nd AVE @ Farside SW 6th ST,1
56,Eastbound SW 2nd Ave @ SW 2nd St,Eastbound SW 2nd AVE @ Nearside SW 2nd ST,1
1290,Alachua County Courthouse,Eastbound SW 2nd AVE @ Nearside S Main ST,1
57,Hippodrome Theatre,Eastbound SE 2nd AVE @ Nearside SE 1st ST,1
1216,Arlington Square Apartments,Southbound SE 3rd ST @ Nearside SE 2nd PL,1
1,Rosa Parks RTS Downtown Station,Northbound SE 3rd ST @ Nearside SE 3rd ST,1
18,Shands Hospital @ Davis Cancer Pavilion,Westbound Archer RD @ Nearside Gale Lemerand DR,1
27,Chili's Grill and Bar @ Butler Plaza,Westbound Archer RD @ Nearside SW 35th BLVD,1
23,UF Surge Area Drive,Westbound Archer RD @ Nearside Surge Area DR,1
444,University Housing Office,Southbound SW 13th ST @ Nearside Diamond RD,1
442,Southbound SW 13th Street @ Inner Road,Southbound SW 13th ST @ Nearside Inner RD,1
2,Hampton Inn Hotel,Westbound SE 2nd AVE @ Nearside SE 1st ST,1
6,720 SW 2nd Ave,Westbound SW 2nd AVE @ Nearside SW 8th ST,1
7,Innovation Square West,Westbound SW 2nd AVE @ Nearside SW 10th ST,1
1323,College Manor Apartments,Westbound SW 2nd AVE @ Nearside SW 13th ST,1
4,The Continuum,Westbound SW 2nd AVE @ Nearside SW 6th ST,1
26,Whole Foods @ Butler Town Center,Westbound Archer RD @ Farside SW 34th ST,1
1549,Hilton Garden Inn,Westbound SW 33rd PL @ Nearside SW 42nd ST,1
1547,Sam's Club,Westbound SW 33rd PL @ Farside SW 37th Blvd,1
1206,Arlington Square Apartments,Northbound SE 3rd ST @ Nearside SE 2nd PL,1
25,Westbound Archer Road @ SW 34th Street,Westbound Archer RD @ Nearside SW 34th ST,1
28,Bonefish Grill Seafood Restaurant @ Butler Plaza,Westbound SW 35th BLVD @ Farside Archer RD,1
22,Country Village,Westbound Archer RD @ Farside SW 23rd TER,1
443,Southbound SW 13th Street @ Museum Road,Southbound SW 13th ST @ Nearside Museum RD,1
24,Tropic Carwash,Westbound Archer RD @ Farside Surge Area DR,1
446,UF Health Archer Road,Westbound Archer RD @ Farside SW 16th ST,1
1440,Mt. Olive Primitive Baptist Church,Southbound NE 15th ST @ Farside NE 5th PL,2
99,SE Hawthorne Rd @ SE 21 St Eastbound,Eastbound Hawthorne RD @ Nearside SE 21st ST,2
100,GTEC,Eastbound Hawthorne RD @ Nearside SE 24th ST,2
132,Westbound SE 22nd Avenue @ SE 12th Street,Westbound SE 22nd AVE @ Farside SE 12th ST,2
350,Fast Eddie's Restaurant,Southbound SE 15th ST @ Farside SE 2nd AVE,2
1498,NE 15th St @ NE 3rd Ave Farside,Southbound NE 15th St @ Farside NE 3rd Ave,2
133,Gainesville Housing Authority,Northbound SE 4th ST @ Farside SE 19th PL,2
124,Lincoln Estates Neighborhood,Southbound SE 19th TER @ Nearside SE 10th PL,2
1364,Southbound SE 19th TER @ SE 12th AVE,Southbound SE 19th TER @ Nearside SE 12th AVE,2
359,Westbound SE 7th Avenue @ SE 8th Street,Westbound SE 7th AVE @ Farside SE 8th ST,2
1234,NE Walmart Supercenter,Eastbound NE 12th AVE @ Farside Waldo RD,2
358,The Cotton Club,Westbound SE 7th AVE @ Nearside SE 9th ST,2
128,Southbound SE 15th Street @ SE 14th Avenue,Southbound SE 15th ST @ Nearside SE 14th AVE,2
69,Showers of Blessing,Southbound SE 15th ST @ Farside SE 25th AVE,2
1497,Alachua School Bus Parking Lot,Westbound SE Hawthorne Rd @ Farside SE 20th St,2
90,Lincoln Estate Neighborhood,Northbound SE 19th TER @ Nearside SE 10th PL,2
110,Veteran's Honor Center,Westbound SE 3rd AVE @ Farside SE 17th ST,2
72,Boulware Springs Nature Park,Southbound SE 15th ST @ Farside SE 35th AVE,2
66,Eastbound SE 22nd Avenue @ SE 12th Street,Eastbound SE 22nd AVE @ Nearside SE 12th ST,2
92,Lincoln Estates,Northbound SE 19th TER @ Nearside SE 8th AVE,2
293,Mt Moriah Baptist Church,Eastbound SE 7th AVE @ Nearside SE 10th TER,2
292,The Cotton Club,Eastbound SE 7th AVE @ Nearside SE 9th ST,2
84,Northbound SE 15th Street @ SE 13th Place,Northbound SE 15th ST @ Farside SE 13th PL,2
87,Lincoln Estate Neighborhood,Eastbound SE 12th AVE @ Farside SE 17th TER,3
761,Sandwich Inn @ NE 16th Ave,Westbound NE 16th AVE @ Nearside NE 2nd ST,3
1454,Northeast Park,Eastbound NE 16th AVE @ Farside NE 2 ST,3
181,Millpond Apartments,Eastbound Newberry RD @ Farside NW 50th BLVD,5
206,AT&T Building,Eastbound W University AVE @ Nearside W 3rd ST,5
198,St. Augustine Catholic Church,Eastbound W University AVE @ Nearside Fletcher DR,5
201,Leonardo's Pizza By The Slice,Eastbound W University AVE @ Farside SW 13th ST,5
187,Florida Citizens Bank,Eastbound Newberry RD @ Nearside NW 39th RD,5
203,University of Florida Human Resources,Eastbound W University AVE @ Nearside W 8th ST,5
184,Alarion Bank,Eastbound Newberry RD @ Nearside NW 43rd ST,5
208,Bo Diddley Community Plaza,Eastbound E University AVE @ Nearside E 3st ST,5
185,Urgent Care Center,Eastbound Newberry RD @ Farside NW 43rd ST,5
186,Life South Blood Center,Eastbound Newberry RD @ Nearside NW 39th ST,5
204,Innovation Square North,Eastbound W University AVE @ Nearside SW 7th ST,5
190,Hawaiian Village,Eastbound SW 2nd AVE @ Nearside SW 34th ST,5
192,UF Golf Course,Eastbound SW 2nd AVE @ Farside SW 30th ST,5
197,Ben Hill Griffin Stadium,Eastbound W University AVE @ Farside Gale Lemeran*,5
