route_id,stop_id,stop_seq
1,1493,0
1,1349,1
1,1548,2
1,1491,3
1,1306,4
1,1592,5
1,34,6
1,35,7
1,36,8
1,37,9
1,38,10
1,39,11
1,40,12
1,1199,13
1,118,14
1,360,15
1,361,16
1,362,17
1,1159,18
1,52,19
1,53,20
1,55,21
1,56,22
1,1290,23
1,57,24
1,1216,25
1,1,26
1,1,0
1,1206,1
1,2,2
1,3,3
1,4,4
1,6,5
1,7,6
1,1323,7
1,442,8
1,443,9
1,444,10
1,446,11
1,18,12
1,20,13
1,22,14
1,23,15
1,24,16
1,25,17
1,26,18
1,27,19
1,28,20
1,1492,21
1,1547,22
1,1549,23
1,1493,24
2,1234,0
2,568,1
2,1261,2
2,1500,3
2,1440,4
2,1498,5
2,350,6
2,97,7
2,98,8
2,99,9
2,100,10
2,122,11
2,124,12
2,1364,13
2,125,14
2,127,15
2,128,16
2,129,17
2,131,18
2,132,19
2,133,20
2,357,21
2,358,22
2,359,23
2,1,24
2,1,0
2,291,1
2,292,2
2,293,3
2,64,4
2,66,5
2,67,6
2,69,7
2,72,8
2,75,9
2,76,10
2,79,11
2,82,12
2,84,13
2,85,14
2,87,15
2,89,16
2,90,17
2,92,18
2,1496,19
2,109,20
2,1497,21
2,110,22
2,300,23
2,1499,24
2,1439,25
2,1501,26
2,564,27
2,1234,28
3,1,0
3,291,1
3,292,2
3,293,3
3,64,4
3,66,5
3,67,6
3,82,7
3,84,8
3,85,9
3,87,10
3,89,11
3,90,12
3,92,13
3,101,14
3,102,15
3,103,16
3,345,17
3,346,18
3,347,19
3,1462,20
3,1464,21
3,1466,22
3,619,23
3,1235,24
3,898,25
3,899,26
3,900,27
3,902,28
3,1453,29
3,761,30
3,762,31
3,1468,32
3,1468,0
3,1543,1
3,1454,2
3,865,3
3,867,4
3,868,5
3,869,6
3,1234,7
3,568,8
3,1467,9
3,1465,10
3,1463,11
3,303,12
3,304,13
3,306,14
3,1553,15
3,108,16
3,122,17
3,124,18
3,1364,19
3,125,20
3,127,21
3,128,22
3,129,23
3,131,24
3,132,25
3,133,26
3,357,27
3,358,28
3,359,29
3,1,30
5,175,0
5,176,1
5,177,2
5,179,3
5,181,4
5,182,5
5,184,6
5,185,7
5,186,8
5,187,9
5,188,10
5,189,11
5,190,12
5,191,13
5,192,14
5,194,15
5,195,16
5,196,17
5,197,18
5,198,19
5,199,20
5,200,21
5,201,22
5,203,23
5,204,24
5,205,25
5,206,26
5,207,27
5,208,28
5,1216,29
5,1,30
5,1,0
5,1206,1
5,139,2
5,140,3
5,142,4
5,143,5
5,144,6
5,145,7
5,146,8
5,147,9
5,148,10
5,149,11
5,150,12
5,1475,13
5,932,14
5,934,15
5,935,16
5,936,17
5,1474,18
5,1473,19
5,161,20
5,162,21
5,163,22
5,164,23
5,165,24
5,166,25
5,167,26
5,168,27
5,1594,28
5,175,29
6,1,0
6,1361,1
6,209,2
6,3,3
6,4,4
6,1505,5
6,1585,6
6,270,7
