"stop_id","stop_id"
1493,1493
1349,1349
1548,1548
1491,1491
1306,1306
1592,1592
34,34
35,35
36,36
37,37
38,38
39,39
40,40
1199,1199
118,118
360,360
361,361
362,362
1159,1159
52,52
53,53
55,55
56,56
1290,1290
57,57
1216,1216
1,1
1206,1206
2,2
3,3
4,4
6,6
7,7
1323,1323
442,442
443,443
444,444
446,446
18,18
20,20
22,22
23,23
24,24
25,25
26,26
27,27
28,28
1492,1492
1547,1547
1549,1549
1234,1234
568,568
1261,1261
1500,1500
1440,1440
1498,1498
350,350
97,97
98,98
99,99
100,100
122,122
124,124
1364,1364
125,125
127,127
128,128
129,129
131,131
132,132
133,133
357,357
358,358
359,359
291,291
292,292
293,293
64,64
66,66
67,67
69,69
72,72
75,75
76,76
79,79
82,82
84,84
85,85
87,87
89,89
90,90
92,92
1496,1496
109,109
1497,1497
110,110
300,300
1499,1499
1439,1439
1501,1501
564,564
101,101
102,102
103,103
345,345
346,346
347,347
1462,1462
1464,1464
1466,1466
619,619
1235,1235
898,898
899,899
900,900
902,902
1453,1453
761,761
762,762
1468,1468
1543,1543
1454,1454
865,865
867,867
868,868
869,869
1467,1467
1465,1465
1463,1463
303,303
304,304
306,306
1553,1553
108,108
175,175
176,176
177,177
179,179
181,181
182,182
184,184
185,185
186,186
187,187
188,188
189,189
190,190
191,191
192,192
194,194
195,195
196,196
197,197
198,198
199,199
200,200
201,201
203,203
204,204
205,205
206,206
207,207
208,208
139,139
140,140
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,150
1475,1475
932,932
934,934
935,935
936,936
1474,1474
1473,1473
161,161
162,162
163,163
164,164
165,165
166,166
167,167
168,168
1594,1594
1361,1361
209,209
1505,1505
1585,1585
270,270
215,215
216,216
217,217
218,218
220,220
221,221
222,222
223,223
735,735
736,736
737,737
254,254
255,255
256,256
258,258
259,259
260,260
261,261
262,262
1593,1593
1478,1478
1479,1479
1168,1168
1169,1169
1170,1170
1455,1455
402,402
403,403
412,412
413,413
397,397
398,398
399,399
1551,1551
236,236
237,237
238,238
239,239
240,240
241,241
242,242
243,243
1221,1221
1222,1222
1223,1223
275,275
276,276
277,277
278,278
279,279
280,280
281,281
282,282
1504,1504
288,288
294,294
295,295
297,297
96,96
301,301
107,107
307,307
308,308
309,309
311,311
312,312
313,313
314,314
315,315
316,316
317,317
319,319
320,320
322,322
323,323
324,324
325,325
326,326
327,327
329,329
330,330
331,331
332,332
333,333
334,334
335,335
336,336
337,337
338,338
339,339
341,341
342,342
343,343
349,349
111,111
113,113
115,115
116,116
409,409
1343,1343
414,414
416,416
417,417
418,418
419,419
420,420
421,421
422,422
423,423
424,424
425,425
426,426
427,427
428,428
429,429
430,430
432,432
433,433
252,252
245,245
247,247
248,248
434,434
435,435
436,436
437,437
438,438
439,439
440,440
441,441
1420,1420
1550,1550
1359,1359
659,659
660,660
363,363
364,364
365,365
366,366
367,367
368,368
369,369
370,370
371,371
372,372
373,373
374,374
375,375
376,376
378,378
379,379
380,380
381,381
382,382
1374,1374
384,384
385,385
386,386
387,387
388,388
389,389
390,390
391,391
393,393
394,394
395,395
396,396
404,404
405,405
406,406
407,407
408,408
447,447
448,448
449,449
450,450
451,451
453,453
454,454
455,455
456,456
457,457
459,459
460,460
461,461
462,462
463,463
464,464
465,465
466,466
1481,1481
467,467
468,468
469,469
1253,1253
1254,1254
966,966
925,925
1192,1192
1193,1193
473,473
16,16
1135,1135
1136,1136
477,477
1482,1482
478,478
479,479
480,480
481,481
482,482
483,483
484,484
485,485
486,486
488,488
489,489
490,490
249,249
250,250
494,494
495,495
496,496
498,498
500,500
501,501
502,502
503,503
504,504
505,505
506,506
507,507
508,508
509,509
510,510
511,511
512,512
514,514
515,515
516,516
517,517
518,518
520,520
521,521
522,522
523,523
524,524
525,525
526,526
528,528
529,529
531,531
532,532
533,533
534,534
535,535
537,537
538,538
539,539
541,541
543,543
544,544
545,545
546,546
1560,1560
595,595
596,596
597,597
1259,1259
598,598
599,599
601,601
602,602
1239,1239
1240,1240
608,608
609,609
611,611
612,612
614,614
617,617
618,618
623,623
624,624
627,627
629,629
630,630
632,632
634,634
553,553
554,554
555,555
556,556
557,557
558,558
560,560
561,561
562,562
563,563
