"stop_name","stop_desc"
"Butler Plaza Transfer Station","Westbound SW 30th Place @ Farside SW 42nd Street"
"Hilton Garden Inn","Eastbound SW 33rd PL @ Farside SW 42nd ST"
"Sam's Club","Eastbound SW 33rd PL @ Nearside SW 37th Blvd"
"Lowe's @ Butler Plaza Eastbound","Eastbound Windmeadows Blvd @ Farside SW 62nd Blvd"
"Publix at Butler Plaza","Southbound SW 35th Blvd @ Farside Windmeadows Blvd"
"Pizza Hut Archer Rd Eastbound","Eastbound SW Archer Rd @ Farside SW 35th Blvd"
"Radio Shack @ Archer Road","Eastbound Archer RD @ Farside SW 34th ST"
"Silver Creek Apartments","Eastbound Archer RD @ Farside SW 34th ST"
"Capstone Quarters Apartments","Eastbound Archer RD @ Farside Surge Area DR"
"Brandywine Apartments","Eastbound Archer RD @ Farside Surge Area DR"
"University Commons","Eastbound Archer RD @ Nearside SW 23rd TER"
"The Bartram Apartments","Eastbound Archer RD @ Farside SW 23rd DR"
"Shands Care Helicopter Pad","Eastbound Archer RD @ Nearside Gale Lemerand DR"
"VA Hospital @ Archer Rd","Eastbound Archer RD @ Farside Center DR"
"Shands Cancer Hospital","Eastbound SW Archer Rd Farside SW 16th St"
"Norman Field","Northbound SW 13th ST @ Farside SW 8th AVE"
"Norman Hall","Northbound SW 13th ST @ Nearside SW 5th AVE"
"Social 28 Apartments","Northbound SW 13th ST @ Nearside SW 3rd AVE"
"Phi Kappa Tau","Eastbound SW 2nd AVE @ Farside SW 13th ST"
"Eastbound SW 2nd Avenue @ SW 10th Street","Eastbound SW 2nd AVE @ Nearside SW 10th ST"
"Innovation Square East","Eastbound SW 2nd AVE @ Farside SW 7th TER"
"Second Avenue Center Apartments","Eastbound SW 2nd AVE @ Farside SW 6th ST"
"Eastbound SW 2nd Ave @ SW 2nd St","Eastbound SW 2nd AVE @ Nearside SW 2nd ST"
"Alachua County Courthouse","Eastbound SW 2nd AVE @ Nearside S Main ST"
"Hippodrome Theatre","Eastbound SE 2nd AVE @ Nearside SE 1st ST"
"Arlington Square Apartments","Southbound SE 3rd ST @ Nearside SE 2nd PL"
"Rosa Parks RTS Downtown Station","Northbound SE 3rd ST @ Nearside SE 3rd ST"
"Arlington Square Apartments","Northbound SE 3rd ST @ Nearside SE 2nd PL"
"Hampton Inn Hotel","Westbound SE 2nd AVE @ Nearside SE 1st ST"
"Westbound SW 2nd Avenue @ SW 2nd Street","Westbound SW 2nd AVE @ Nearside SW 2nd ST"
"The Continuum","Westbound SW 2nd AVE @ Nearside SW 6th ST"
"720 SW 2nd Ave","Westbound SW 2nd AVE @ Nearside SW 8th ST"
"Innovation Square West","Westbound SW 2nd AVE @ Nearside SW 10th ST"
"College Manor Apartments","Westbound SW 2nd AVE @ Nearside SW 13th ST"
"Southbound SW 13th Street @ Inner Road","Southbound SW 13th ST @ Nearside Inner RD"
"Southbound SW 13th Street @ Museum Road","Southbound SW 13th ST @ Nearside Museum RD"
"University Housing Office","Southbound SW 13th ST @ Nearside Diamond RD"
"UF Health Archer Road","Westbound Archer RD @ Farside SW 16th ST"
"Shands Hospital @ Davis Cancer Pavilion","Westbound Archer RD @ Nearside Gale Lemerand DR"
"Mt Vernon Apartments","Westbound Archer RD @ Nearside SW 23rd DR"
"Country Village","Westbound Archer RD @ Farside SW 23rd TER"
"UF Surge Area Drive","Westbound Archer RD @ Nearside Surge Area DR"
"Tropic Carwash","Westbound Archer RD @ Farside Surge Area DR"
"Westbound Archer Road @ SW 34th Street","Westbound Archer RD @ Nearside SW 34th ST"
"Whole Foods @ Butler Town Center","Westbound Archer RD @ Farside SW 34th ST"
"Chili's Grill and Bar @ Butler Plaza","Westbound Archer RD @ Nearside SW 35th BLVD"
"Bonefish Grill Seafood Restaurant @ Butler Plaza","Westbound SW 35th BLVD @ Farside Archer RD"
"Butler Plaza","Westbound Windmeadows Blvd @ Nearside SW 62nd Blvd"
"Sam's Club","Westbound SW 33rd PL @ Farside SW 37th Blvd"
"Hilton Garden Inn","Westbound SW 33rd PL @ Nearside SW 42nd ST"
"NE Walmart Supercenter","Eastbound NE 12th AVE @ Farside Waldo RD"
"Mount Zion Church of God","Southbound NE 19th ST @ Nearside NE 8th AVE"
"Gardenia Garden Apartments","Westbound NE 8th AVE @ Farside NE 17th DR"
"NE 15th St @ NE 7th Ave","Southbound NE 15th St @ Nearside NE 7th Ave"
"Mt. Olive Primitive Baptist Church","Southbound NE 15th ST @ Farside NE 5th PL"
"NE 15th St @ NE 3rd Ave Farside","Southbound NE 15th St @ Farside NE 3rd Ave"
"Fast Eddie's Restaurant","Southbound SE 15th ST @ Farside SE 2nd AVE"
"Veteran's Honor Center","Eastbound SE 3rd AVE @ Nearside SE 17th ST"
"SE Hawthorne Rd @ SE 18th St Eastbound","Eastbound Hawthorne RD @ Farside SE 21st ST"
"SE Hawthorne Rd @ SE 21 St Eastbound","Eastbound Hawthorne RD @ Nearside SE 21st ST"
"GTEC","Eastbound Hawthorne RD @ Nearside SE 24th ST"
"Lincoln Estates","Southbound SE 19th TER @ Farside SE 8th AVE"
"Lincoln Estates Neighborhood","Southbound SE 19th TER @ Nearside SE 10th PL"
"Southbound SE 19th TER @ SE 12th AVE","Southbound SE 19th TER @ Nearside SE 12th AVE"
"Westbound SE 12th Avenue @ SE 18th Terrace","Westbound SE 12th AVE @ Nearside SE 18th TER"
"Lincoln Estates Neighborhood","Westbound SE 12th AVE @ Nearside SE 15th ST"
"Southbound SE 15th Street @ SE 14th Avenue","Southbound SE 15th ST @ Nearside SE 14th AVE"
"McPherson Recreational Center","Southbound SE 15th ST @ Nearside SE 22nd AVE"
"Westbound SE 22nd Avenue @ SE 13th Street","Westbound SE 22nd AVE @ Nearside SE 13th ST"
"Westbound SE 22nd Avenue @ SE 12th Street","Westbound SE 22nd AVE @ Farside SE 12th ST"
"Gainesville Housing Authority","Northbound SE 4th ST @ Farside SE 19th PL"
"SE 7th Avenue @ SE 10th Terrace","Westbound SE 7th AVE @ Farside SE 10th TER"
"The Cotton Club","Westbound SE 7th AVE @ Nearside SE 9th ST"
"Westbound SE 7th Avenue @ SE 8th Street","Westbound SE 7th AVE @ Farside SE 8th ST"
"Eastbound SE 7th Avenue @ SE 8th Street","Eastbound SE 7th AVE @ Nearside SE 8th ST"
"The Cotton Club","Eastbound SE 7th AVE @ Nearside SE 9th ST"
"Mt Moriah Baptist Church","Eastbound SE 7th AVE @ Nearside SE 10th TER"
"Sugarhill Neighborhood @ SE 4th Street","Southbound SE 4th ST @ Nearside SE 19th PL"
"Eastbound SE 22nd Avenue @ SE 12th Street","Eastbound SE 22nd AVE @ Nearside SE 12th ST"
"Eastbound SE 22nd Avenue @ SE 13th Street","Eastbound SE 22nd AVE @ Nearside SE 13th ST"
"Showers of Blessing","Southbound SE 15th ST @ Farside SE 25th AVE"
"Boulware Springs Nature Park","Southbound SE 15th ST @ Farside SE 35th AVE"
"Robinson Heights","Southbound SE 15th ST @ Nearside SE 41st AVE"
"Prairie View Elementary School","Northbound SE 15th ST @ Nearside SE 35th AVE"
"Showers of Blessings Harvest Center","Northbound SE 15th ST @ Nearside SE 25th AVE"
"McPherson Recreational Center","Northbound SE 15th ST @ Farside SE 22nd AVE"
"Northbound SE 15th Street @ SE 13th Place","Northbound SE 15th ST @ Farside SE 13th PL"
"Lincoln Estate Neighborhood","Eastbound SE 12th AVE @ Farside SE 15th ST"
"Lincoln Estate Neighborhood","Eastbound SE 12th AVE @ Farside SE 17th TER"
"Lincoln Estate Neighborhood","Eastbound SE 12th AVE @ Nearside SE 19th TER"
"Lincoln Estate Neighborhood","Northbound SE 19th TER @ Nearside SE 10th PL"
"Lincoln Estates","Northbound SE 19th TER @ Nearside SE 8th AVE"
"Save A LOT Food Store","Westbound SE Hawthorne Rd @ Farside SE 24th St"
"Phase III Supply","Westbound Hawthorne RD @ Nearside SE 21st ST"
"Alachua School Bus Parking Lot","Westbound SE Hawthorne Rd @ Farside SE 20th St"
"Veteran's Honor Center","Westbound SE 3rd AVE @ Farside SE 17th ST"
"Fast Eddie's Restaurant","Northbound SE 15th ST @ Nearside SE 1st AVE"
"NE 15th St @ NE 3rd Ave Nearside","Northbound NE 15th St @ Nearside NE 3rd Ave"
"Cohens Temple","Northbound NE 15th ST @ Nearside NE 5th PL"
"NE 15th St @ NE 8th Ave","Northbound NE 15th St @ Nearside NE 8th Ave"
"MLK Center","Northbound Waldo RD @ Farside NE 8th AVE"
"SE 24th Street - Dollar General Store","Northbound SE 24th ST @ Farside Hawthorne RD"
"Health Department","Northbound SE 24th ST @ Nearside SE 2nd AVE"
"Northbound SE 24th Street @ E University Avenue","Northbound SE 24th ST @ Nearside E University AVE"
"Harper's Pointe","Westbound E University AVE @Nearside 22nd ST"
"Westbound E University Avenue @ SE 21st Street","Westbound E University AVE @ Nearside SE 21st ST"
"SE 18th St @ E University Avenue","Westbound E University AVE @ Nearside SE 18th ST"
"NE 18 ST @ NE 3 AVE","Northbound NE 18 ST @ Nearside NE 3 AVE"
"NE 18th St","Northbound NE 18th ST @ Farside NE 5th Ave"
"NE 18th St @ NE 8th Ave","Northbound NE 18th ST @ Nearside NE 8th Ave"
"Bartley Temple United Methodist Church","Northbound NE 19th ST @ Farside NE 8th AVE"
"NE Walmart Supercenter","Westbound NE 12th AVE @ Nearside Waldo RD"
"Rose Food Store","Westbound NE 16th AVE @ Nearside NE 16th WAY"
"Michelle Garden Apartments","Westbound NE 16th AVE @ Nearside NE 15th ST"
"Auto Audio","Westbound NE 16th AVE @ Nearside NE 12th ST"
"Department of Children and Families","Westbound NE 16th AVE @ Nearside NE 9th ST"
"St. Patrick Catholic Church","Westbound NE 16th AVE @ Nearside NE 2 ST"
"Sandwich Inn @ NE 16th Ave","Westbound NE 16th AVE @ Nearside NE 2nd ST"
"Midas @ N Main Street","Southbound N Main ST @ Farside NE 16th AVE"
"N Main Post Office","Westbound NW 14th Ave @ Farside Main Street"
"NW 2nd St @ NW 16th Ave Northbound","Northbound NW 2nd St @ Nearside NW 16th Ave"
"Northeast Park","Eastbound NE 16th AVE @ Farside NE 2 ST"
