"stop_name","stop_name"
"Butler Plaza Transfer Station","Butler Plaza Transfer Station"
"Hilton Garden Inn","Hilton Garden Inn"
"Sam's Club","Sam's Club"
"Lowe's @ Butler Plaza Eastbound","Lowe's @ Butler Plaza Eastbound"
"Publix at Butler Plaza","Publix at Butler Plaza"
"Pizza Hut Archer Rd Eastbound","Pizza Hut Archer Rd Eastbound"
"Radio Shack @ Archer Road","Radio Shack @ Archer Road"
"Silver Creek Apartments","Silver Creek Apartments"
"Capstone Quarters Apartments","Capstone Quarters Apartments"
"Brandywine Apartments","Brandywine Apartments"
"University Commons","University Commons"
"The Bartram Apartments","The Bartram Apartments"
"Shands Care Helicopter Pad","Shands Care Helicopter Pad"
"VA Hospital @ Archer Rd","VA Hospital @ Archer Rd"
"Shands Cancer Hospital","Shands Cancer Hospital"
"Norman Field","Norman Field"
"Norman Hall","Norman Hall"
"Social 28 Apartments","Social 28 Apartments"
"Phi Kappa Tau","Phi Kappa Tau"
"Eastbound SW 2nd Avenue @ SW 10th Street","Eastbound SW 2nd Avenue @ SW 10th Street"
"Innovation Square East","Innovation Square East"
"Second Avenue Center Apartments","Second Avenue Center Apartments"
"Eastbound SW 2nd Ave @ SW 2nd St","Eastbound SW 2nd Ave @ SW 2nd St"
"Alachua County Courthouse","Alachua County Courthouse"
"Hippodrome Theatre","Hippodrome Theatre"
"Arlington Square Apartments","Arlington Square Apartments"
"Rosa Parks RTS Downtown Station","Rosa Parks RTS Downtown Station"
"Arlington Square Apartments","Arlington Square Apartments"
"Hampton Inn Hotel","Hampton Inn Hotel"
"Westbound SW 2nd Avenue @ SW 2nd Street","Westbound SW 2nd Avenue @ SW 2nd Street"
"The Continuum","The Continuum"
"720 SW 2nd Ave","720 SW 2nd Ave"
"Innovation Square West","Innovation Square West"
"College Manor Apartments","College Manor Apartments"
"Southbound SW 13th Street @ Inner Road","Southbound SW 13th Street @ Inner Road"
"Southbound SW 13th Street @ Museum Road","Southbound SW 13th Street @ Museum Road"
"University Housing Office","University Housing Office"
"UF Health Archer Road","UF Health Archer Road"
"Shands Hospital @ Davis Cancer Pavilion","Shands Hospital @ Davis Cancer Pavilion"
"Mt Vernon Apartments","Mt Vernon Apartments"
"Country Village","Country Village"
"UF Surge Area Drive","UF Surge Area Drive"
"Tropic Carwash","Tropic Carwash"
"Westbound Archer Road @ SW 34th Street","Westbound Archer Road @ SW 34th Street"
"Whole Foods @ Butler Town Center","Whole Foods @ Butler Town Center"
"Chili's Grill and Bar @ Butler Plaza","Chili's Grill and Bar @ Butler Plaza"
"Bonefish Grill Seafood Restaurant @ Butler Plaza","Bonefish Grill Seafood Restaurant @ Butler Plaza"
"Butler Plaza","Butler Plaza"
"Sam's Club","Sam's Club"
"Hilton Garden Inn","Hilton Garden Inn"
"NE Walmart Supercenter","NE Walmart Supercenter"
"Mount Zion Church of God","Mount Zion Church of God"
"Gardenia Garden Apartments","Gardenia Garden Apartments"
"NE 15th St @ NE 7th Ave","NE 15th St @ NE 7th Ave"
"Mt. Olive Primitive Baptist Church","Mt. Olive Primitive Baptist Church"
"NE 15th St @ NE 3rd Ave Farside","NE 15th St @ NE 3rd Ave Farside"
"Fast Eddie's Restaurant","Fast Eddie's Restaurant"
"Veteran's Honor Center","Veteran's Honor Center"
"SE Hawthorne Rd @ SE 18th St Eastbound","SE Hawthorne Rd @ SE 18th St Eastbound"
"SE Hawthorne Rd @ SE 21 St Eastbound","SE Hawthorne Rd @ SE 21 St Eastbound"
"GTEC","GTEC"
"Lincoln Estates","Lincoln Estates"
"Lincoln Estates Neighborhood","Lincoln Estates Neighborhood"
"Southbound SE 19th TER @ SE 12th AVE","Southbound SE 19th TER @ SE 12th AVE"
"Westbound SE 12th Avenue @ SE 18th Terrace","Westbound SE 12th Avenue @ SE 18th Terrace"
"Lincoln Estates Neighborhood","Lincoln Estates Neighborhood"
"Southbound SE 15th Street @ SE 14th Avenue","Southbound SE 15th Street @ SE 14th Avenue"
"McPherson Recreational Center","McPherson Recreational Center"
"Westbound SE 22nd Avenue @ SE 13th Street","Westbound SE 22nd Avenue @ SE 13th Street"
"Westbound SE 22nd Avenue @ SE 12th Street","Westbound SE 22nd Avenue @ SE 12th Street"
"Gainesville Housing Authority","Gainesville Housing Authority"
"SE 7th Avenue @ SE 10th Terrace","SE 7th Avenue @ SE 10th Terrace"
"The Cotton Club","The Cotton Club"
"Westbound SE 7th Avenue @ SE 8th Street","Westbound SE 7th Avenue @ SE 8th Street"
"Eastbound SE 7th Avenue @ SE 8th Street","Eastbound SE 7th Avenue @ SE 8th Street"
"The Cotton Club","The Cotton Club"
"Mt Moriah Baptist Church","Mt Moriah Baptist Church"
"Sugarhill Neighborhood @ SE 4th Street","Sugarhill Neighborhood @ SE 4th Street"
"Eastbound SE 22nd Avenue @ SE 12th Street","Eastbound SE 22nd Avenue @ SE 12th Street"
