"stop_id","stop_name","stop_desc"
"1493","Butler Plaza Transfer Station","Westbound SW 30th Place @ Farside SW 42nd Street"
"1349","Hilton Garden Inn","Eastbound SW 33rd PL @ Farside SW 42nd ST"
"1548","Sam's Club","Eastbound SW 33rd PL @ Nearside SW 37th Blvd"
"1491","Lowe's @ Butler Plaza Eastbound","Eastbound Windmeadows Blvd @ Farside SW 62nd Blvd"
"1306","Publix at Butler Plaza","Southbound SW 35th Blvd @ Farside Windmeadows Blvd"
"1592","Pizza Hut Archer Rd Eastbound","Eastbound SW Archer Rd @ Farside SW 35th Blvd"
"34","Radio Shack @ Archer Road","Eastbound Archer RD @ Farside SW 34th ST"
"35","Silver Creek Apartments","Eastbound Archer RD @ Farside SW 34th ST"
"36","Capstone Quarters Apartments","Eastbound Archer RD @ Farside Surge Area DR"
"37","Brandywine Apartments","Eastbound Archer RD @ Farside Surge Area DR"
"38","University Commons","Eastbound Archer RD @ Nearside SW 23rd TER"
"39","The Bartram Apartments","Eastbound Archer RD @ Farside SW 23rd DR"
"40","Shands Care Helicopter Pad","Eastbound Archer RD @ Nearside Gale Lemerand DR"
"1199","VA Hospital @ Archer Rd","Eastbound Archer RD @ Farside Center DR"
"118","Shands Cancer Hospital","Eastbound SW Archer Rd Farside SW 16th St"
"360","Norman Field","Northbound SW 13th ST @ Farside SW 8th AVE"
"361","Norman Hall","Northbound SW 13th ST @ Nearside SW 5th AVE"
"362","Social 28 Apartments","Northbound SW 13th ST @ Nearside SW 3rd AVE"
"1159","Phi Kappa Tau","Eastbound SW 2nd AVE @ Farside SW 13th ST"
"52","Eastbound SW 2nd Avenue @ SW 10th Street","Eastbound SW 2nd AVE @ Nearside SW 10th ST"
"53","Innovation Square East","Eastbound SW 2nd AVE @ Farside SW 7th TER"
"55","Second Avenue Center Apartments","Eastbound SW 2nd AVE @ Farside SW 6th ST"
"56","Eastbound SW 2nd Ave @ SW 2nd St","Eastbound SW 2nd AVE @ Nearside SW 2nd ST"
"1290","Alachua County Courthouse","Eastbound SW 2nd AVE @ Nearside S Main ST"
"57","Hippodrome Theatre","Eastbound SE 2nd AVE @ Nearside SE 1st ST"
"1216","Arlington Square Apartments","Southbound SE 3rd ST @ Nearside SE 2nd PL"
"1","Rosa Parks RTS Downtown Station","Northbound SE 3rd ST @ Nearside SE 3rd ST"
"1206","Arlington Square Apartments","Northbound SE 3rd ST @ Nearside SE 2nd PL"
"2","Hampton Inn Hotel","Westbound SE 2nd AVE @ Nearside SE 1st ST"
"3","Westbound SW 2nd Avenue @ SW 2nd Street","Westbound SW 2nd AVE @ Nearside SW 2nd ST"
"4","The Continuum","Westbound SW 2nd AVE @ Nearside SW 6th ST"
"6","720 SW 2nd Ave","Westbound SW 2nd AVE @ Nearside SW 8th ST"
"7","Innovation Square West","Westbound SW 2nd AVE @ Nearside SW 10th ST"
"1323","College Manor Apartments","Westbound SW 2nd AVE @ Nearside SW 13th ST"
"442","Southbound SW 13th Street @ Inner Road","Southbound SW 13th ST @ Nearside Inner RD"
