"trip_id","route_id"
"4753576","1"
"4753577","1"
"4753578","1"
"4753579","1"
"4753580","1"
"4753581","1"
"4753582","1"
"4753583","1"
"4753584","1"
"4753585","1"
"5001001","1"
"5001003","1"
"5001005","1"
"5001007","1"
"5001009","1"
"5001011","1"
"5001013","1"
"5001015","1"
"5001017","1"
"5001019","1"
"5001021","1"
"5001023","1"
"5001025","1"
"5001027","1"
"5001029","1"
"5001031","1"
"5001033","1"
"5001035","1"
"5001037","1"
"5001039","1"
"5001041","1"
"5001043","1"
"5001045","1"
"5001047","1"
"5001049","1"
"5001051","1"
"5001053","1"
"5001055","1"
"5001057","1"
"5001059","1"
"5001061","1"
"5001063","1"
"5001065","1"
"5001067","1"
"5001069","1"
"5001071","1"
"5001073","1"
"5001075","1"
"5001077","1"
"5001079","1"
"5001081","1"
"5001083","1"
"5001085","1"
"5001087","1"
"5001089","1"
"5001091","1"
"5001093","1"
"5001095","1"
"5001097","1"
"3001002","1"
"3001004","1"
"3001006","1"
"3001008","1"
"3001010","1"
"3001012","1"
"3001014","1"
"3001016","1"
"3001018","1"
"3001020","1"
"3001022","1"
"3001024","1"
"3001026","1"
"3001028","1"
"3001030","1"
"1001001","1"
"1001003","1"
"1001005","1"
"1001007","1"
"1001009","1"
"1001011","1"
"1001013","1"
"1001015","1"
"1001017","1"
"1001019","1"
"1001021","1"
"1001023","1"
"1001025","1"
"1001027","1"
"1001029","1"
"1001031","1"
"1001033","1"
"1001035","1"
"1001037","1"
"1001039","1"
"1001041","1"
"1001043","1"
"1001045","1"
"1001047","1"
"1001049","1"
"1001051","1"
"1001053","1"
"1001055","1"
"1001057","1"
"1001059","1"
"1001061","1"
"1001063","1"
"1001065","1"
"1001067","1"
"1001069","1"
"1001071","1"
"1001073","1"
"1001075","1"
"1001077","1"
"1001079","1"
"1001081","1"
"1001083","1"
"1001085","1"
"1001087","1"
"1001089","1"
"1001091","1"
"1001093","1"
"1001095","1"
"1001097","1"
"1001099","1"
"1001101","1"
"1001103","1"
"1001105","1"
"7001002","1"
"7001004","1"
"7001006","1"
"7001008","1"
"7001010","1"
"7001012","1"
"7001014","1"
"7001016","1"
"2001002","1"
"2001004","1"
"2001006","1"
"2001008","1"
"2001010","1"
"2001012","1"
"2001014","1"
"2001016","1"
"2001018","1"
"2001020","1"
"2001022","1"
"2001024","1"
"2001026","1"
"2001028","1"
"2001030","1"
"2001032","1"
"2001034","1"
"2001036","1"
"2001038","1"
"2001040","1"
"2001042","1"
"2001044","1"
"2001046","1"
"2001048","1"
"2001050","1"
"2001052","1"
"2001054","1"
"2001056","1"
"2001058","1"
"2001060","1"
"2001062","1"
"6001002","1"
"6001004","1"
"6001006","1"
"6001008","1"
"6001010","1"
"6001012","1"
"6001014","1"
"6001016","1"
"6001018","1"
"6001020","1"
"6001022","1"
"6001024","1"
"6001026","1"
"6001028","1"
"6001030","1"
"6001032","1"
"6001034","1"
"6001036","1"
"6001038","1"
"6001040","1"
"6001042","1"
"6001044","1"
"6001046","1"
"6001048","1"
"8001002","1"
"8001004","1"
"8001006","1"
"8001008","1"
"8001010","1"
"8001012","1"
"8001014","1"
"8001016","1"
"8001018","1"
"8001020","1"
"4001001","1"
"4001003","1"
"4001005","1"
"4001007","1"
"4001009","1"
"4001011","1"
"4001013","1"
"4001015","1"
"4001017","1"
"4001019","1"
"5001002","1"
"5001004","1"
"5001006","1"
"5001008","1"
"5001010","1"
"5001012","1"
"5001014","1"
"5001016","1"
"5001018","1"
"5001020","1"
"5001022","1"
"5001024","1"
"5001026","1"
"5001028","1"
"5001030","1"
"5001032","1"
"5001034","1"
"5001036","1"
"5001038","1"
"5001040","1"
"5001042","1"
"5001044","1"
"5001046","1"
"5001048","1"
"5001050","1"
"5001052","1"
"5001054","1"
"5001056","1"
"5001058","1"
"5001060","1"
"5001062","1"
"5001064","1"
"5001066","1"
"5001068","1"
"5001070","1"
"5001072","1"
"5001074","1"
"5001076","1"
"5001078","1"
"5001080","1"
"5001082","1"
"5001084","1"
"5001086","1"
"5001088","1"
"5001090","1"
"5001092","1"
"5001094","1"
"5001096","1"
"3001001","1"
"3001003","1"
"3001005","1"
"3001007","1"
"3001009","1"
"3001011","1"
"3001013","1"
"3001015","1"
"3001017","1"
"3001019","1"
"3001021","1"
"3001023","1"
"3001025","1"
"3001027","1"
"3001029","1"
"1001002","1"
"1001004","1"
"1001006","1"
"1001008","1"
"1001010","1"
"1001012","1"
"1001014","1"
"1001016","1"
"1001018","1"
"1001020","1"
"1001022","1"
"1001024","1"
"1001026","1"
"1001028","1"
"1001030","1"
"1001032","1"
"1001034","1"
"1001036","1"
"1001038","1"
"1001040","1"
"1001042","1"
"1001044","1"
"1001046","1"
"1001048","1"
"1001050","1"
"1001052","1"
"1001054","1"
"1001056","1"
"1001058","1"
"1001060","1"
"1001062","1"
"1001064","1"
"1001066","1"
"1001068","1"
"1001070","1"
"1001072","1"
"1001074","1"
"1001076","1"
"1001078","1"
"1001080","1"
"1001082","1"
"1001084","1"
"1001086","1"
"1001088","1"
"1001090","1"
"1001092","1"
"1001094","1"
"1001096","1"
"1001098","1"
"1001100","1"
"1001102","1"
"1001104","1"
"7001001","1"
"7001003","1"
"7001005","1"
"7001007","1"
"7001009","1"
"7001011","1"
"7001013","1"
"7001015","1"
"2001001","1"
"2001003","1"
"2001005","1"
"2001007","1"
"2001009","1"
"2001011","1"
"2001013","1"
"2001015","1"
"2001017","1"
"2001019","1"
"2001021","1"
"2001023","1"
"2001025","1"
"2001027","1"
"2001029","1"
"2001031","1"
"2001033","1"
"2001035","1"
"2001037","1"
"2001039","1"
"2001041","1"
"2001043","1"
"2001045","1"
"2001047","1"
"2001049","1"
"2001051","1"
"2001053","1"
"2001055","1"
"2001057","1"
"2001059","1"
"2001061","1"
"6001001","1"
"6001003","1"
"6001005","1"
"6001007","1"
"6001009","1"
"6001011","1"
"6001013","1"
"6001015","1"
"6001017","1"
"6001019","1"
"6001021","1"
"6001023","1"
"6001025","1"
"6001027","1"
"6001029","1"
"6001031","1"
"6001033","1"
"6001035","1"
"6001037","1"
"6001039","1"
"6001041","1"
"6001043","1"
"6001045","1"
"6001047","1"
"8001001","1"
"8001003","1"
"8001005","1"
"8001007","1"
"8001009","1"
"8001011","1"
"8001013","1"
"8001015","1"
"8001017","1"
"8001019","1"
"4002002","2"
"4002004","2"
"4002006","2"
"4002008","2"
"4002010","2"
"4002012","2"
"4002014","2"
"4002016","2"
"4002018","2"
"4002020","2"
"5002001","2"
"5002003","2"
"5002005","2"
"5002007","2"
"5002009","2"
"5002011","2"
"5002013","2"
"5002015","2"
"5002017","2"
"5002019","2"
"5002021","2"
"5002023","2"
"5002025","2"
"5002027","2"
"5002029","2"
"1002001","2"
"7521676","2"
"7521677","2"
"7521678","2"
"7521679","2"
"7521680","2"
"7521681","2"
"7521682","2"
"7521683","2"
"7521684","2"
"7521685","2"
"7521686","2"
"7521687","2"
"7521688","2"
"7521689","2"
"2002002","2"
"2002004","2"
"2002006","2"
"2002008","2"
"2002010","2"
"2002012","2"
"2002014","2"
"2002016","2"
"2002018","2"
"2002020","2"
"2002022","2"
"6002002","2"
"6002004","2"
"6002006","2"
"6002008","2"
"6002010","2"
"6002012","2"
"6002014","2"
"6002016","2"
"6002018","2"
"6002020","2"
"6002022","2"
"8002002","2"
"8002004","2"
"8002006","2"
"8002008","2"
"8002010","2"
"8002012","2"
"8002014","2"
"8002016","2"
"8002018","2"
"8002020","2"
"4002001","2"
"4002003","2"
"4002005","2"
"4002007","2"
"4002009","2"
"4002011","2"
"4002013","2"
"4002015","2"
"4002017","2"
"4002019","2"
"5002002","2"
"5002004","2"
"5002006","2"
"5002008","2"
"5002010","2"
"5002012","2"
"5002014","2"
"5002016","2"
"5002018","2"
"5002020","2"
"5002022","2"
"5002024","2"
"5002026","2"
"5002028","2"
"1002002","2"
"7521663","2"
"7521664","2"
"7521665","2"
"7521666","2"
"7521667","2"
"7521668","2"
"7521669","2"
"7521670","2"
"7521671","2"
"7521672","2"
"7521673","2"
"7521674","2"
"7521675","2"
"2002001","2"
"2002003","2"
"2002005","2"
"2002007","2"
"2002009","2"
"2002011","2"
"2002013","2"
"2002015","2"
"2002017","2"
"2002019","2"
"2002021","2"
"6002001","2"
"6002003","2"
"6002005","2"
"6002007","2"
"6002009","2"
"6002011","2"
"6002013","2"
"6002015","2"
"6002017","2"
"6002019","2"
"6002021","2"
"8002001","2"
"8002003","2"
